Moisture,Category_One_Defects,Category_Two_Defects,Quakers,Altitude,Variety,Processing_Method,Country_of_Origin,Color,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Total_Cup_Points,Classe
0.103,0,0,0.0,1300.0,Gesha,Natural / Dry,Taiwan,yellow-green,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,86.08,Gourmet
0.1,0,0,0.0,1250.0,SL34,Washed / Wet,Taiwan,Bluish-Green,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,83.67,Superior
0.11,0,1,0.0,1200.0,Gesha,Natural / Dry,Taiwan,brownish,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,85.92,Gourmet
0.103,0,0,0.0,850.0,Gesha,Washed / Wet,Taiwan,Bluish-Green,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,85.17,Gourmet
0.109,0,9,0.0,1943.0,Ethiopian Heirlooms,Washed / Wet,Ethiopia,Green,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,84.5,Gourmet
0.102,0,0,0.0,1200.0,Gesha,Unknown,Taiwan,yellow-green,7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,82.92,Superior
0.103,0,5,1.0,1200.0,Catuai,Washed / Wet,Outros,Bluish-Green,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,84.75,Gourmet
0.105,1,8,2.0,1500.0,Caturra,Washed / Wet,Costa Rica,Green,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,82.0,Tradicional
0.0969999999999999,0,4,2.0,1200.0,Caturra,Washed / Wet,Costa Rica,Green,7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,81.58,Tradicional
0.1,0,2,1.0,1850.0,Caturra,Washed / Wet,Costa Rica,Green,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,84.67,Gourmet
0.0,0,3,0.0,1850.0,Caturra,Washed / Wet,Costa Rica,Green,7.58,7.75,7.42,7.67,7.5,7.75,10.0,10.0,10.0,83.33,Superior
0.095,0,2,0.0,1850.0,Caturra,Washed / Wet,Costa Rica,Green,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,83.92,Superior
0.1119999999999999,0,0,0.0,1654.0,Bourbon,Washed / Wet,"Tanzania, United Republic Of",Greenish,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,84.83,Gourmet
0.1159999999999999,0,2,0.0,1550.0,Bourbon,Washed / Wet,"Tanzania, United Republic Of",Greenish,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,84.0,Gourmet
0.11,0,0,0.0,1550.0,Bourbon,Washed / Wet,"Tanzania, United Republic Of",Greenish,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,86.5,Gourmet
0.104,0,8,0.0,1550.0,Bourbon,Washed / Wet,"Tanzania, United Republic Of",Greenish,7.92,7.67,7.42,7.5,7.67,7.58,10.0,10.0,10.0,83.25,Superior
0.098,0,3,0.0,1675.0,Bourbon,Washed / Wet,"Tanzania, United Republic Of",Greenish,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,84.0,Gourmet
0.1,0,0,0.0,1585.0,Bourbon,Washed / Wet,"Tanzania, United Republic Of",Greenish,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,85.83,Gourmet
0.092,0,1,0.0,1750.0,SL28,Washed / Wet,Kenya,Greenish,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,85.25,Gourmet
0.12,0,12,0.0,2000.0,Ethiopian Heirlooms,Washed / Wet,Ethiopia,Green,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,83.83,Superior
0.0,0,2,0.0,1100.0,Other,Washed / Wet,China,Green,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,84.5,Gourmet
0.0,0,4,0.0,1200.0,Typica,Natural / Dry,Outros,Unknown,7.25,7.25,7.25,7.08,7.58,7.5,10.0,10.0,10.0,81.17,Tradicional
0.14,0,3,0.0,1400.0,Other,Washed / Wet,Outros,Green,7.08,7.33,7.42,7.33,7.33,7.5,10.0,10.0,10.0,81.33,Tradicional
0.0,0,0,0.0,1707.0,Pache Comun,Natural / Dry,Outros,Unknown,7.42,7.17,7.33,7.42,7.25,7.33,10.0,10.0,10.0,81.08,Tradicional
0.0,0,1,0.0,1600.0,Other,Washed / Wet,Mexico,Green,7.42,7.58,7.5,7.67,7.25,7.5,10.0,10.0,10.0,82.5,Superior
0.11,0,1,0.0,1860.0,SL28,Washed / Wet,Kenya,Green,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,86.0,Gourmet
0.1,1,1,0.0,1400.0,Other,Washed / Wet,Mexico,Unknown,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,82.17,Tradicional
0.11,0,0,0.0,1350.0,Bourbon,Semi-washed / Semi-pulped,El Salvador,Unknown,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,85.58,Gourmet
0.09,4,40,0.0,1550.0,Other,Natural / Dry,Ethiopia,Green,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,84.0,Gourmet
0.0,0,4,0.0,1311.0,Bourbon,Washed / Wet,Guatemala,Green,7.58,7.33,7.5,7.33,7.0,7.33,9.33,9.33,9.33,79.75,Tradicional
0.0,1,3,0.0,1250.0,SL28,Washed / Wet,Outros,Unknown,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,81.92,Tradicional
0.12,1,1,0.0,1200.0,Caturra,Washed / Wet,Colombia,Green,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,86.0,Gourmet
0.1,0,10,0.0,1550.0,Bourbon,Washed / Wet,Guatemala,Bluish-Green,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,84.08,Gourmet
0.12,0,2,0.0,1575.0,Bourbon,Semi-washed / Semi-pulped,Costa Rica,Bluish-Green,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,84.58,Gourmet
0.0,0,1,0.0,1450.0,Bourbon,Washed / Wet,El Salvador,Green,7.33,7.17,7.08,7.08,7.33,7.17,10.0,10.0,10.0,80.42,Tradicional
0.08,0,2,0.0,1311.0,Unknown,Unknown,Nicaragua,Unknown,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,86.58,Gourmet
0.0,0,0,0.0,1400.0,Pacamara,Unknown,Mexico,Unknown,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,85.0,Gourmet
0.0,0,1,0.0,1400.0,Blue Mountain,Unknown,Mexico,Unknown,7.75,7.58,7.25,7.75,7.67,7.58,10.0,10.0,10.0,82.67,Superior
0.0,2,5,0.0,1311.0,Other,Washed / Wet,El Salvador,Green,7.75,7.33,7.33,7.5,7.5,7.5,10.0,10.0,10.0,82.25,Tradicional
0.0,0,17,0.0,1311.0,Other,Washed / Wet,El Salvador,Unknown,7.92,8.0,7.5,6.75,7.92,7.58,10.0,10.0,9.33,82.67,Superior
0.01,1,14,0.0,1600.0,Unknown,Unknown,Guatemala,Unknown,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10.0,10.0,82.5,Superior
0.0,0,4,0.0,1311.0,Unknown,Natural / Dry,Guatemala,Blue-Green,7.5,7.58,7.42,7.58,7.42,7.58,10.0,10.0,10.0,82.58,Superior
0.09,0,2,0.0,1311.0,Unknown,Washed / Wet,Honduras,Unknown,7.25,7.67,7.42,7.17,7.75,7.5,10.0,10.0,10.0,82.42,Superior
0.1,5,20,0.0,1311.0,Catuai,Washed / Wet,Costa Rica,Unknown,7.17,7.42,7.5,8.0,7.25,7.83,10.0,10.0,6.67,79.17,Tradicional
0.12,0,6,1.0,1500.0,Other,Washed / Wet,Honduras,Green,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,10.0,82.42,Superior
0.11,0,0,0.0,1311.0,Unknown,Washed / Wet,Honduras,Green,7.42,7.33,7.33,7.58,7.33,7.5,10.0,10.0,10.0,81.92,Tradicional
0.1,0,4,0.0,1311.0,Unknown,Washed / Wet,Guatemala,Green,7.58,7.58,7.25,7.58,7.58,7.58,10.0,10.0,10.0,82.92,Superior
0.0,1,10,0.0,1311.0,Unknown,Washed / Wet,Costa Rica,Green,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,84.67,Gourmet
0.13,1,2,0.0,200.0,Unknown,Washed / Wet,Outros,Bluish-Green,7.42,7.25,6.83,7.0,7.33,7.08,9.33,10.0,10.0,79.33,Tradicional
0.1,2,7,0.0,1700.0,Unknown,Natural / Dry,Ethiopia,Green,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,85.08,Gourmet
0.0,0,5,0.0,1880.0,Bourbon,Washed / Wet,Outros,Unknown,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,83.33,Superior
0.09,0,15,0.0,1800.0,Other,Natural / Dry,Ethiopia,Unknown,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,84.08,Gourmet
0.12,4,26,0.0,1067.0,Other,Natural / Dry,Indonesia,Unknown,7.33,7.0,6.5,6.08,7.58,6.33,9.33,10.0,9.33,76.17,Tradicional
0.17,1,19,0.0,1326.0,Unknown,Unknown,Guatemala,Unknown,7.08,7.0,6.83,7.33,7.25,7.0,10.0,10.0,10.0,79.58,Tradicional
0.04,0,1,0.0,1326.0,Unknown,Unknown,Guatemala,Unknown,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,85.0,Gourmet
0.1,1,3,0.0,1050.0,Caturra,Washed / Wet,Nicaragua,Green,7.33,7.08,7.25,7.0,7.5,7.42,10.0,10.0,10.0,80.92,Tradicional
0.11,0,0,0.0,1311.0,Unknown,Washed / Wet,Guatemala,Bluish-Green,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,84.17,Gourmet
0.12,3,4,0.0,1311.0,Unknown,Washed / Wet,Nicaragua,Green,7.58,7.42,7.25,7.17,7.5,7.67,10.0,10.0,10.0,81.92,Tradicional
0.02,0,1,0.0,1311.0,Unknown,Unknown,Guatemala,Unknown,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10.0,10.0,83.08,Superior
0.11,0,0,0.0,1311.0,Sumatra,Semi-washed / Semi-pulped,Indonesia,Bluish-Green,7.17,7.42,7.33,7.42,7.33,7.42,10.0,10.0,10.0,81.67,Tradicional
0.12,1,2,0.0,1311.0,Unknown,Washed / Wet,Outros,Green,7.0,7.08,7.0,7.25,7.5,7.42,9.33,10.0,10.0,79.75,Tradicional
0.0,0,3,0.0,1311.0,Unknown,Washed / Wet,Outros,Green,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10.0,10.0,82.42,Superior
0.1,1,5,0.0,1311.0,Unknown,Washed / Wet,Outros,Bluish-Green,7.42,7.42,7.17,7.33,7.42,7.42,10.0,10.0,10.0,81.42,Tradicional
0.0,0,11,0.0,1311.0,Unknown,Washed / Wet,Mexico,Green,7.58,7.58,7.42,7.75,7.67,7.67,9.33,10.0,10.0,82.58,Superior
